code,segment,kind,time,time_human,field,lib_val,fresh_val,abs_diff
600039,daily,TIME_MISSING_FRESH,1537891200000,2018-09-25 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1537977600000,2018-09-26 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1538064000000,2018-09-27 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1538928000000,2018-10-07 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1539014400000,2018-10-08 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1539100800000,2018-10-09 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1539187200000,2018-10-10 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1539273600000,2018-10-11 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1539532800000,2018-10-14 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1539619200000,2018-10-15 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1539705600000,2018-10-16 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1539792000000,2018-10-17 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1539878400000,2018-10-18 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1540137600000,2018-10-21 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1540224000000,2018-10-22 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1540310400000,2018-10-23 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1540396800000,2018-10-24 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1540483200000,2018-10-25 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1540742400000,2018-10-28 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1540828800000,2018-10-29 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1540915200000,2018-10-30 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1541001600000,2018-10-31 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1541088000000,2018-11-01 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1541347200000,2018-11-04 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1541433600000,2018-11-05 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1541520000000,2018-11-06 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1541606400000,2018-11-07 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1541692800000,2018-11-08 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1541952000000,2018-11-11 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1542038400000,2018-11-12 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1542124800000,2018-11-13 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1542211200000,2018-11-14 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1542297600000,2018-11-15 16:00:00,,,,
