code,end_date,fi_ann_date,fi_eps_orig,fi_data_source,ic_ann_date,ic_basic_eps
002836,1696003200000,1698422400000,,mcp,1698422400000,0.04
002839,1703952000000,1714406400000,,mcp,1714406400000,0.78
002843,1767110400000,1777046400000,,mcp,1777046400000,-0.1474
002863,1759161600000,1761580800000,,mcp,1761580800000,0.12
002868,1751212800000,1756483200000,,mcp,1756483200000,-0.38
002889,1743350400000,1745856000000,,mcp,1745856000000,0.16
002913,1703952000000,1713974400000,,mcp,1713974400000,1.63
002915,1711814400000,1714060800000,,mcp,1714060800000,0.0078
002926,1719676800000,1724947200000,,mcp,1724947200000,0.02
002926,1727625600000,1730304000000,,mcp,1730304000000,0.1
002933,1522425600000,1556121600000,,mcp,1556121600000,0.43
002935,1522425600000,1556121600000,,mcp,1556121600000,-0.2065
002937,1522425600000,1556208000000,,mcp,1556208000000,0.1
002938,1530288000000,1565712000000,,mcp,1565712000000,0.21
002939,1522425600000,1556121600000,,mcp,1556121600000,0.04
002940,1522425600000,1556208000000,,mcp,1556208000000,0.5
002941,1522425600000,1556467200000,,mcp,1556467200000,0.25
002942,1530288000000,1566403200000,,mcp,1566403200000,0.73
002943,1538236800000,1572278400000,,mcp,1572278400000,1.1
002945,1522425600000,1555948800000,,mcp,1555948800000,0.03
002945,1538236800000,1572192000000,,mcp,1572192000000,0.11
002946,1522425600000,1556121600000,,mcp,1556121600000,0.03
002947,1522425600000,1556208000000,,mcp,1556208000000,0.1951
002948,1522425600000,1556294400000,,mcp,1556294400000,0.11
002948,1538236800000,1572364800000,,mcp,1572364800000,0.31
002948,1696003200000,1698336000000,,mcp,1698336000000,0.47
002949,1522425600000,1556035200000,,mcp,1556035200000,-0.01
002949,1538236800000,1572451200000,,mcp,1572451200000,0.57
002950,1522425600000,1556467200000,,mcp,1556467200000,0.1098
002950,1530288000000,1567008000000,,mcp,1567008000000,0.231
002951,1522425600000,1556035200000,,mcp,1556035200000,0.11
002951,1538236800000,1572451200000,,mcp,1572451200000,0.34
002953,1530288000000,1566403200000,,mcp,1566403200000,0.38
002953,1538236800000,1571932800000,,mcp,1571932800000,0.7
002955,1538236800000,1572278400000,,mcp,1572278400000,2.82
002956,1530288000000,1566316800000,,mcp,1566316800000,1.13
002956,1538236800000,1572192000000,,mcp,1572192000000,1.83
002957,1538236800000,1571760000000,,mcp,1571760000000,0.66
002958,1696003200000,1698422400000,,mcp,1698422400000,0.52
002959,1538236800000,1572364800000,,mcp,1572364800000,1.3253
002960,1530288000000,1567180800000,,mcp,1567180800000,0.72
002960,1538236800000,1571760000000,,mcp,1571760000000,1.4
002960,1553961600000,1588176000000,,mcp,1588176000000,0.28
002961,1538236800000,1571760000000,,mcp,1571760000000,0.22
002961,1553961600000,1588176000000,,mcp,1588176000000,0.1
002961,1688054400000,1692979200000,,mcp,1692979200000,0.26
002962,1538236800000,1572278400000,,mcp,1572278400000,0.68
002962,1553961600000,1588176000000,,mcp,1588176000000,0.18
002963,1553961600000,1587916800000,,mcp,1587916800000,0.72
002965,1553961600000,1587657600000,,mcp,1587657600000,0.3268
002966,1538236800000,1572451200000,,mcp,1572451200000,0.62
002967,1711814400000,1714060800000,,mcp,1714060800000,0.0021
002968,1553961600000,1587484800000,,mcp,1587484800000,0.4376
002969,1553961600000,1587657600000,,mcp,1587657600000,0.0308
002970,1553961600000,1587312000000,,mcp,1587312000000,0.26
002970,1727625600000,1729612800000,,mcp,1729612800000,1.27
002971,1553961600000,1588089600000,,mcp,1588089600000,0.15
002973,1553961600000,1587916800000,,mcp,1587916800000,0.08
002975,1553961600000,1588003200000,,mcp,1588003200000,1.08
002976,1553961600000,1588003200000,,mcp,1588003200000,0.29
002976,1561824000000,1598284800000,,mcp,1598284800000,0.58
002977,1553961600000,1588089600000,,mcp,1588089600000,0.24
002977,1561824000000,1598371200000,,mcp,1598371200000,0.88
002977,1569772800000,1603382400000,,mcp,1603382400000,1.09
002978,1561824000000,1597852800000,,mcp,1597852800000,0.7698
002978,1569772800000,1603641600000,,mcp,1603641600000,1.1065
002979,1553961600000,1588003200000,,mcp,1588003200000,0.087
002979,1561824000000,1598371200000,,mcp,1598371200000,0.3
002979,1569772800000,1603382400000,,mcp,1603382400000,0.45
002980,1553961600000,1588089600000,,mcp,1588089600000,0.21
002980,1561824000000,1598371200000,,mcp,1598371200000,0.48
002980,1569772800000,1603382400000,,mcp,1603382400000,0.74
002981,1553961600000,1588003200000,,mcp,1588003200000,0.0628
002981,1569772800000,1603728000000,,mcp,1603728000000,0.75
002982,1553961600000,1588089600000,,mcp,1588089600000,0.43
002982,1569772800000,1603641600000,,mcp,1603641600000,2.23
002983,1569772800000,1603296000000,,mcp,1603296000000,0.57
002984,1569772800000,1603900800000,,mcp,1603900800000,0.91
002984,1585584000000,1619366400000,,mcp,1619366400000,0.3858
002985,1569772800000,1603123200000,,mcp,1603123200000,0.92
002986,1569772800000,1603814400000,,mcp,1603814400000,2.22
002987,1569772800000,1603382400000,,mcp,1603382400000,0.98
002988,1569772800000,1603814400000,,mcp,1603814400000,0.6671
002989,1569772800000,1603814400000,,mcp,1603814400000,1.28
002990,1569772800000,1603814400000,,mcp,1603814400000,1.43
002991,1569772800000,1603382400000,,mcp,1603382400000,1.47
002992,1569772800000,1603468800000,,mcp,1603468800000,1.1798
002993,1569772800000,1603814400000,,mcp,1603814400000,1.15
002995,1569772800000,1603900800000,,mcp,1603900800000,1.3325
002995,1696003200000,1698422400000,,mcp,1698422400000,-0.1812
002996,1569772800000,1603728000000,,mcp,1603728000000,0.26
002996,1585584000000,1619107200000,,mcp,1619107200000,0.09
002997,1569772800000,1603382400000,,mcp,1603382400000,0.46
002997,1585584000000,1619452800000,,mcp,1619452800000,0.21
002998,1585584000000,1618848000000,,mcp,1618848000000,0.01
002999,1569772800000,1603382400000,,mcp,1603382400000,0.16
002999,1585584000000,1619452800000,,mcp,1619452800000,0.05
